% Model:              AC -220722 - Compressor.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 20:34
% Dimension:          1
% Nodes:              1601
% Expressions:        1
% Description:        Global
% freq (Hz)               2DX, |Z<sub>ac</sub>|
100                       4.19405250805357E7
100.28823774509846        4.1819966697829865E7
100.57730630017382        4.1699754745588094E7
100.8672080599342         4.157988826326862E7
101.15794542598982        4.1460366240350075E7
101.44952080687364        4.134118765655927E7
101.74193661806045        4.1222351558185644E7
102.03519528198785        4.110385696577025E7
102.32929922807536        4.098570286207139E7
102.62425089274542        4.086788835283217E7
102.92005271944286        4.0750412351434454E7
103.21670715865542        4.063327396273307E7
103.5142166679344         4.051647216662895E7
103.8125837119143         4.040000601514469E7
104.11181076233397        4.028387457789154E7
104.41190029805638        4.0168076828312345E7
104.71285480508996        4.005261184807399E7
105.01467677660837        3.9937478670742586E7
105.3173687129716         3.98226763616026E7
105.6209331217469         3.970820393944837E7
105.92537251772886        3.9594060467829525E7
106.2306894229611         3.948024499680754E7
106.53688636675629        3.9366756583675064E7
106.84396588571794        3.925359433102278E7
107.1519305237606         3.9140757230606705E7
107.46078283213176        3.9028244377749726E7
107.77052536943224        3.891605485572191E7
108.08116070163774        3.8804187740349784E7
108.39269140212039        3.869264206190971E7
108.70512005166928        3.8581416935542196E7
109.01844923851279        3.8470511419148766E7
109.33268155833908        3.8359924582063034E7
109.64781961431851        3.824965555711018E7
109.96386601712433        3.813970339024983E7
110.28082338495518        3.803006718497228E7
110.59869434355599        3.792074601564991E7
110.9174815262401         3.781173898797917E7
111.23718757391133        3.770304522388496E7
111.55781513508519        3.7594663791989684E7
111.87936686591168        3.748659377847753E7
112.2018454301963         3.7378834347124055E7
112.52525349942316        3.7271384552103266E7
112.84959375277622        3.716424353272929E7
113.17486887716188        3.7057410371194005E7
113.50108156723155        3.6950884227586605E7
113.82823452540319        3.684466415919108E7
114.1563304618846         3.673874934469747E7
114.48537209469495        3.6633138884982266E7
114.81536214968828        3.652783188785745E7
115.14630336057506        3.6422827499209195E7
115.47819846894582        3.631812484497022E7
115.81105022429303        3.6213723049144275E7
116.14486138403426        3.6109621270421766E7
116.47963471353533        3.600581863657046E7
116.81537298613243        3.590231427984211E7
117.15207898315602        3.579910733733278E7
117.48975549395291        3.569619697162605E7
117.82840531591037        3.5593582305797264E7
118.16803125447831        3.54912624979208E7
118.50863612319345        3.538923674586656E7
118.85022274370189        3.528750412898794E7
119.19279394578271        3.518606386026254E7
119.53635256737189        3.508491507728007E7
119.8809014545849         3.498405694381964E7
120.22644346174131        3.488348862123796E7
120.57298145138739        3.478320929303777E7
120.92051829432084        3.468321810837352E7
121.26905686961376        3.45835142583745E7
121.6186000646368         3.448409689407493E7
121.96915077508342        3.438496521352987E7
122.32071190499313        3.428611836555916E7
122.67328636677647        3.4187555560912125E7
123.02687708123811        3.408927597250533E7
123.38148697760212        3.399127880241559E7
123.73711899353519        3.389356320500869E7
124.09377607517196        3.379612840200096E7
124.45146117713857        3.3698973564059004E7
124.81017726257751        3.360209789615227E7
125.16992730317256        3.35055006009002E7
125.53071427917247        3.340918086814533E7
125.89254117941675        3.3313137908873513E7
126.25541100135932        3.3217370913508583E7
126.61932675109443        3.312187910794301E7
126.9842914433805         3.302666168568455E7
127.35030810166616        3.2931717870536406E7
127.71737975811435        3.283704685014218E7
128.08550945362785        3.274264788318466E7
128.45470023787485        3.264852015200943E7
128.82495516931337        3.2554662892439928E7
129.1962773152175         3.2461075316372808E7
129.5686697517019         3.2367756667738304E7
129.94213556374828        3.227470614046609E7
130.31667784523           3.2181922999730717E7
130.69229969893817        3.2089406457261443E7
131.06900423660773        3.1997155751931325E7
131.4467945789422         3.1905170115465727E7
131.82567385564073        3.181344878807783E7
132.20564520542297        3.1721991010681674E7
132.58671177605595        3.163079602357754E7
132.9688767243793         3.1539863071519714E7
133.3521432163324         3.1449191407518398E7
133.73651442697962        3.1358780280571297E7
134.1219935405371         3.1268628925362922E7
134.50858375039945        3.1178736602413047E7
134.89628825916532        3.1089102585115757E7
135.28511027866506        3.0999726109644294E7
135.67505302998612        3.091060644005029E7
136.06611974350088        3.0821742851955093E7
136.4583136588924         3.0733134585079003E7
136.85163802518215        3.064478092843419E7
137.24609610075626        3.055668112609254E7
137.6416911533926         3.0468834472577468E7
138.03842646028852        3.038124022986259E7
138.4363053080869         3.0293897672660083E7
138.83533099290457        3.020680607255325E7
139.23550682035835        3.0119964705765206E7
139.63683610559377        3.0033372867063105E7
140.03932217331138        2.9947029838086616E7
140.44296835779474        2.9860934875812545E7
140.84777800293858        2.977508730873453E7
141.2537544622754         2.9689486395235598E7
141.66090109900438        2.9604131435061727E7
142.06922128601818        2.9519021730124895E7
142.47871840593191        2.9434156564202707E7
142.8893958511102         2.9349535224542283E7
143.30125702369628        2.92651570388208E7
143.71430533563912        2.918102128917247E7
144.12854420872233        2.9097127276109062E7
144.5439770745928         2.901347431637412E7
144.96060737478808        2.8930061707108673E7
145.37843856076623        2.884688875725054E7
145.79747409393298        2.8763954783821944E7
146.21771744567184        2.8681259087892253E7
146.63917209737153        2.859880100900458E7
147.06184154045604        2.851657984378096E7
147.4857292764125         2.8434594921339307E7
147.91083881682073        2.8352845545068633E7
148.33717368338253        2.827133106226957E7
148.76473740795015        2.8190050773579482E7
149.19353353255647        2.8109004025249004E7
149.6235656094433         2.8028190137648556E7
150.05483720109186        2.7947608438147314E7
150.48735188025145        2.786725826161752E7
150.9211132299693         2.7787138951251924E7
151.35612484362088        2.770724982631563E7
151.79239032493837        2.7627590235237185E7
152.22991328804204        2.754815952353858E7
152.66869735746866        2.746895702021131E7
153.10874616820303        2.738998208593649E7
153.55006336570662        2.7311234043031693E7
153.9926526059492         2.7232712258073226E7
154.4365175554379         2.7154416084189415E7
154.88166189124811        2.7076344844677567E7
155.32808930105446        2.6998497922071964E7
155.7758034831602         2.692087465581734E7
156.22480814652906        2.684347441434487E7
156.67510701081486        2.6766296547245983E7
157.12670380639344        2.668934041426265E7
157.57960227439236        2.6612605383262422E7
158.03380616672317        2.653609082167942E7
158.48931924611142        2.6459796087057512E7
158.94614528612814        2.638372055255426E7
159.4042880712218         2.630786358271604E7
159.86375139674837        2.6232224556607313E7
160.32453906900417        2.6156802841052007E7
160.786654905256          2.608159781679959E7
161.25010273377416        2.600660885815198E7
161.71488639386294        2.5931835336777404E7
162.18100973589299        2.5857276650050376E7
162.64847662133363        2.5782932163944528E7
163.1172909227838         2.5708801278192475E7
163.58745652400532        2.56348833578532E7
164.05897731995387        2.556117780994922E7
164.5318572168125         2.5487684016042467E7
165.00610013202268        2.5414401360035807E7
165.48170999431815        2.5341329250081602E7
165.95869074375614        2.5268467068746433E7
166.4370463317507         2.5195814219955876E7
166.91678072110582        2.512337009492071E7
167.3978978860471         2.5051134101489924E7
167.88040181225605        2.497910563254934E7
168.36429649690177        2.490728409625878E7
168.84958594867533        2.4835668900153734E7
169.33627418782172        2.4764259447655376E7
169.82436524617444        2.4693055148041435E7
170.31386316718778        2.4622055407013856E7
170.8047720059708         2.4551259643720407E7
171.29709582932136        2.448066726930728E7
171.79083871575875        2.441027769361901E7
172.2860047555588         2.4340090343003586E7
172.78259805078628        2.4270104619237963E7
173.2806227153304         2.4200319965871785E7
173.78008287493762        2.413073579154854E7
174.2809826672464         2.406135152053546E7
174.78332624182192        2.3992166578601398E7
175.28711776018926        2.3923180392278638E7
175.7923613958693         2.385439239153262E7
176.2990613344119         2.3785802007560465E7
176.80722177343196        2.3717408663649514E7
177.31684692264275        2.364921179941204E7
177.82794100389228        2.3581210858405422E7
178.34050825119692        2.3513405262553513E7
178.85455291077713        2.3445794460512195E7
179.37007924109307        2.3378377884108342E7
179.88709151287873        2.3311154984698698E7
180.40559400917866        2.3244125195869673E7
180.92559102538203        2.3177287964637835E7
181.44708686925964        2.3110642744247817E7
181.97008586099827        2.3044188974474E7
182.49459233323773        2.297792610534037E7
183.02061063110568        2.2911853589477725E7
183.54814511225402        2.2845970889347386E7
184.07720014689562        2.2780277438926756E7
184.60778011783924        2.2714772713524297E7
185.13988942052723        2.264945615130914E7
185.67353246307053        2.2584327231980793E7
186.20871366628674        2.2519385400635168E7
186.7454374637353         2.2454630126907244E7
187.28370830175484        2.239006087158909E7
187.8235306395006         2.2325677100692872E7
188.36490894898           2.226147827882454E7
188.90784771509132        2.2197463876731507E7
189.45235143565915        2.213363336517462E7
189.9984246214733         2.2069986209545225E7
190.54607179632484        2.200652188609859E7
191.09529749704404        2.1943239870502524E7
191.64610627353872        2.1880139635295413E7
192.1985026888304         2.181722066240731E7
192.75249131909365        2.1754482426260605E7
193.30807675369272        2.1691924410714217E7
193.86526359522077        2.162954609225366E7
194.42405645953662        2.1567346957478147E7
194.98445997580455        2.1505326495216984E7
195.54647878653103        2.1443484184155703E7
196.11011754760474        2.1381819514947727E7
196.6753809283339         2.1320331978952713E7
197.24227361148533        2.1259021064578712E7
197.81080029332404        2.119788626462877E7
198.38096568365052        2.1136927070071924E7
198.95277450584163        2.1076142978048388E7
199.52623149688787        2.1015533486794453E7
200.10134140743443        2.0955098090671804E7
200.678109001819          2.089483629540886E7
201.25653905811188        2.0834747591718014E7
201.83663636815618        2.077483148824248E7
202.41840573760612        2.0715087489874415E7
203.00185198596844        2.0655515097618297E7
203.5869799466407         2.0596113821979288E7
204.17379446695296        2.05368831641963E7
204.76230040820647        2.0477822645541776E7
205.3525026457146         2.0418931762863312E7
