% Model:              AC -220722 - Compressor.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 20:34
% Dimension:          1
% Nodes:              1601
% Expressions:        1
% Description:        Global
% freq (Hz)               2DX, arg(Z<sub>ac</sub>)
100                       -90
100.28823774509846        -90
100.57730630017382        -90
100.8672080599342         -90
101.15794542598982        -90
101.44952080687364        -90
101.74193661806045        -90
102.03519528198785        -90
102.32929922807536        -90
102.62425089274542        -90
102.92005271944286        -90
103.21670715865542        -90
103.5142166679344         -90
103.8125837119143         -90
104.11181076233397        -90
104.41190029805638        -90
104.71285480508996        -90
105.01467677660837        -90
105.3173687129716         -90
105.6209331217469         -90
105.92537251772886        -90
106.2306894229611         -90
106.53688636675629        -90
106.84396588571794        -90
107.1519305237606         -90
107.46078283213176        -90
107.77052536943224        -90
108.08116070163774        -90
108.39269140212039        -90
108.70512005166928        -90
109.01844923851279        -90
109.33268155833908        -90
109.64781961431851        -90
109.96386601712433        -90
110.28082338495518        -90
110.59869434355599        -90
110.9174815262401         -90
111.23718757391133        -90
111.55781513508519        -90
111.87936686591168        -90
112.2018454301963         -90
112.52525349942316        -90
112.84959375277622        -90
113.17486887716188        -90
113.50108156723155        -90
113.82823452540319        -90
114.1563304618846         -90
114.48537209469495        -90
114.81536214968828        -90
115.14630336057506        -90
115.47819846894582        -90
115.81105022429303        -90
116.14486138403426        -90
116.47963471353533        -90
116.81537298613243        -90
117.15207898315602        -90
117.48975549395291        -90
117.82840531591037        -90
118.16803125447831        -90
118.50863612319345        -90
118.85022274370189        -90
119.19279394578271        -90
119.53635256737189        -90
119.8809014545849         -90
120.22644346174131        -90
120.57298145138739        -90
120.92051829432084        -90
121.26905686961376        -90
121.6186000646368         -90
121.96915077508342        -90
122.32071190499313        -90
122.67328636677647        -90
123.02687708123811        -90
123.38148697760212        -90
123.73711899353519        -90
124.09377607517196        -90
124.45146117713857        -90
124.81017726257751        -90
125.16992730317256        -90
125.53071427917247        -90
125.89254117941675        -90
126.25541100135932        -90
126.61932675109443        -90
126.9842914433805         -90
127.35030810166616        -90
127.71737975811435        -90
128.08550945362785        -90
128.45470023787485        -90
128.82495516931337        -90
129.1962773152175         -90
129.5686697517019         -90
129.94213556374828        -90
130.31667784523           -90
130.69229969893817        -90
131.06900423660773        -90
131.4467945789422         -90
131.82567385564073        -90
