Displacement [mm] - FD curve	Force [N] - FD curve	
0.814	0.533075	
0.81675	0.533075	
0.8195	0.533075	
0.82225	0.533075	
0.825	0.533075	
0.82775	0.533075	
0.8305	0.533075	
0.83325	0.533075	
0.836	0.533075	
0.83875	0.533075	
0.8415	0.533075	
0.84425	0.533075	
0.847	0.533075	
0.84975	0.533075	
0.8525	0.533075	
0.85525	0.533075	
0.858	0.533075	
0.86075	0.533075	
0.8635	0.533075	
0.86625	0.533075	
0.869	0.533075	
0.87175	0.533075	
0.8745	0.533075	
0.87725	0.533075	
0.88	0.533075	
0.88275	0.533075	
0.8855	0.533075	
0.88825	0.533075	
0.891	0.533075	
0.89375	0.533075	
0.8965	0.533075	
0.89925	0.533075	
0.902	0.533075	
0.90475	0.533075	
0.9075	0.533075	
0.91025	0.533075	
0.913	0.533075	
0.91575	0.533075	
0.9185	0.533075	
0.92125	0.533075	
0.924	0.533075	
0.92675	0.533075	
0.9295	0.533075	
0.93225	0.533075	
0.935	0.533075	
0.93775	0.533075	
0.9405	0.533075	
0.94325	0.533075	
0.946	0.533075	
0.94875	0.533075	
0.9515	0.533075	
0.95425	0.533075	
0.957	0.533075	
0.95975	0.533075	
0.9625	0.533075	
0.96525	0.533075	
0.968	0.533075	
0.97075	0.533075	
0.9735	0.533075	
0.97625	0.533075	
0.979	0.533075	
0.98175	0.533075	
0.9845	0.533075	
0.98725	0.533075	
0.99	0.533075	
0.99275	0.533075	
0.9955	0.533075	
0.99825	0.533075	
1.001	0.533075	
1.00375	0.533075	
1.0065	0.533075	
1.00925	0.533075	
1.012	0.533075	
1.01475	0.533075	
1.0175	0.533075	
1.02025	0.533075	
1.023	0.533075	
1.02575	0.533075	
1.0285	0.533075	
1.03125	0.533075	
1.034	0.533075	
1.03675	0.533075	
1.0395	0.533075	
1.04225	0.533075	
1.045	0.533075	
1.04775	0.533075	
1.0505	0.533075	
1.05325	0.533075	
1.056	0.533075	
1.05875	0.533075	
1.0615	0.533075	
1.06425	0.533075	
1.067	0.533075	
1.06975	0.533075	
1.0725	0.533075	
1.07525	0.533075	
1.078	0.533075	
1.08075	0.533075	
1.0835	0.533075	
1.08625	0.533075	
1.089	0.533075	
1.09175	0.533075	
1.0945	0.533075	
1.09725	0.533075	
1.1	0.533075	
1.10275	0.533075	
1.1055	0.533075	
1.10825	0.533075	
1.111	0.533075	
1.11375	0.533075	
1.1165	0.533075	
1.11925	0.533075	
1.122	0.533075	
1.12475	0.533075	
1.1275	0.533075	
1.13025	0.533075	
1.133	0.533075	
1.13575	0.533075	
1.1385	0.533075	
1.14125	0.533075	
1.144	0.533075	
1.14675	0.533075	
1.1495	0.533075	
1.15225	0.533075	
1.155	0.533075	
1.15775	0.533075	
1.1605	0.533075	
1.16325	0.533075	
1.166	0.533075	
1.16875	0.533075	
1.1715	0.533075	
1.17425	0.533075	
1.177	0.533075	
1.17975	0.533075	
1.1825	0.533075	
1.18525	0.533075	
1.188	0.533075	
1.19075	0.533075	
1.1935	0.533075	
1.19625	0.533075	
1.199	0.533075	
1.20175	0.533075	
1.2045	0.533075	
1.20725	0.533075	
1.21	0.533075	
1.21275	0.533075	
1.2155	0.533075	
1.21825	0.533075	
1.221	0.533075	
1.22375	0.533075	
1.2265	0.533075	
1.22925	0.533075	
1.232	0.533075	
1.23475	0.533075	
1.2375	0.533075	
1.24025	0.533075	
1.243	0.533075	
1.24575	0.533075	
1.2485	0.533075	
1.25125	0.533075	
1.254	0.533075	
1.25675	0.533075	
1.2595	0.533075	
1.26225	0.533075	
1.265	0.533075	
1.26775	0.533075	
1.2705	0.533075	
1.27325	0.533075	
1.276	0.533075	
1.27875	0.533075	
1.2815	0.533075	
1.28425	0.533075	
1.287	0.533075	
1.28975	0.533075	
1.2925	0.533075	
1.29525	0.533075	
1.298	0.533075	
1.30075	0.533075	
1.3035	0.533075	
1.30625	0.533075	
1.309	0.533075	
1.31175	0.533075	
1.3145	0.533075	
1.31725	0.533075	
1.32	0.533075	
1.32275	0.533075	
1.3255	0.533075	
1.32825	0.533075	
1.331	0.533075	
1.33375	0.533075	
1.3365	0.533075	
1.33925	0.533075	
1.342	0.533075	
1.34475	0.533075	
1.3475	0.533075	
1.35025	0.533075	
1.353	0.533075	
1.35575	0.533075	
1.3585	0.533075	
1.36125	0.533075	
1.364	0.533075	
1.36675	0.533075	
1.3695	0.533075	
1.37225	0.533075	
1.375	0.533075	
1.37775	0.533075	
1.3805	0.533075	
1.38325	0.533075	
1.386	0.533075	
1.38875	0.533075	
1.3915	0.533075	
1.39425	0.533075	
1.397	0.533075	
1.39975	0.533075	
1.4025	0.533075	
1.40525	0.533075	
1.408	0.533075	
1.41075	0.533075	
1.4135	0.533075	
1.41625	0.533075	
1.419	0.533075	
1.42175	0.533075	
1.4245	0.533075	
1.42725	0.533075	
1.43	0.533075	
1.43275	0.533075	
1.4355	0.533075	
1.43825	0.533075	
1.441	0.533075	
1.44375	0.533075	
1.4465	0.533075	
1.44925	0.533075	
1.452	0.533075	
1.45475	0.533075	
1.4575	0.533075	
1.46025	0.533075	
1.463	0.533075	
1.46575	0.533075	
1.4685	0.533075	
1.47125	0.533075	
1.474	0.533075	
1.47675	0.533075	
1.4795	0.533075	
1.48225	0.533075	
1.485	0.533075	
1.48775	0.533075	
1.4905	0.533075	
1.49325	0.533075	
1.496	0.533075	
1.49875	0.533075	
1.5015	0.533075	
1.50425	0.533075	
1.507	0.533075	
1.50975	0.533075	
1.5125	0.533075	
1.51525	0.533075	
1.518	0.533075	
1.52075	0.533075	
1.5235	0.533075	
1.52625	0.533075	
1.529	0.533075	
1.53175	0.533075	
1.5345	0.533075	
1.53725	0.533075	
1.54	0.533075	
1.54275	0.533075	
1.5455	0.533075	
1.54825	0.533075	
1.551	0.533075	
1.55375	0.533075	
1.5565	0.533075	
1.55925	0.533075	
1.562	0.533075	
1.56475	0.533075	
1.5675	0.533075	
1.57025	0.533075	
1.573	0.533075	
1.57575	0.533075	
1.5785	0.533075	
1.58125	0.533075	
1.584	0.533075	
1.58675	0.533075	
1.5895	0.533075	
1.59225	0.533075	
1.595	0.533075	
1.59775	0.533075	
1.6005	0.533075	
1.60325	0.533075	
1.606	0.533075	
1.60875	0.533075	
1.6115	0.533075	
1.61425	0.533075	
1.617	0.533075	
1.61975	0.533075	
1.6225	0.533075	
1.62525	0.533075	
1.628	0.533075	
1.63075	0.533075	
1.6335	0.533075	
1.63625	0.533075	
1.639	0.533075	
1.64175	0.533075	
1.6445	0.533075	
1.64725	0.533075	
1.65	0.533075	
1.65275	0.533075	
1.6555	0.533075	
1.65825	0.533075	
1.661	0.533075	
1.66375	0.533075	
1.6665	0.533075	
1.66925	0.533075	
1.672	0.533075	
1.67475	0.533075	
1.6775	0.533075	
1.68025	0.533075	
1.683	0.533075	
1.68575	0.533075	
1.6885	0.533075	
1.69125	0.533075	
1.694	0.533075	
1.69675	0.533075	
1.6995	0.533075	
1.70225	0.533075	
1.705	0.533075	
1.70775	0.533075	
1.7105	0.533075	
1.71325	0.533075	
1.716	0.533075	
1.71875	0.533075	
1.7215	0.533075	
1.72425	0.533075	
1.727	0.533075	
1.72975	0.533075	
1.7325	0.533075	
1.73525	0.533075	
1.738	0.533075	
1.74075	0.533075	
1.7435	0.533075	
1.74625	0.533075	
1.749	0.533075	
1.75175	0.533075	
1.7545	0.533075	
1.75725	0.533075	
1.76	0.533075	
1.76275	0.533075	
1.7655	0.533075	
1.76825	0.533075	
1.771	0.533075	
1.77375	0.533075	
1.7765	0.533075	
1.77925	0.533075	
1.782	0.533075	
1.78475	0.533075	
1.7875	0.533075	
1.79025	0.533075	
1.793	0.533075	
1.79575	0.533075	
1.7985	0.533075	
1.80125	0.533075	
1.804	0.533075	
1.80675	0.533075	
1.8095	0.533075	
1.81225	0.533075	
1.815	0.533075	
1.81775	0.533075	
1.8205	0.533075	
1.82325	0.533075	
1.826	0.533075	
1.82875	0.533075	
1.8315	0.533075	
1.83425	0.533075	
1.837	0.533075	
1.83975	0.533075	
1.8425	0.533075	
1.84525	0.533075	
1.848	0.533075	
1.85075	0.533075	
1.8535	0.533075	
1.85625	0.533075	
1.859	0.533075	
1.86175	0.533075	
1.8645	0.533075	
1.86725	0.533075	
1.87	0.533075	
1.87275	0.533075	
1.8755	0.533075	
1.87825	0.533075	
1.881	0.533075	
1.88375	0.533075	
1.8865	0.533075	
1.88925	0.533075	
1.892	0.533075	
1.89475	0.533075	
1.8975	0.533075	
1.90025	0.533075	
1.903	0.533075	
1.90575	0.533075	
1.9085	0.533075	
1.91125	0.533075	
1.914	0.533075	
1.91675	0.533075	
1.9195	0.533075	
1.92225	0.533075	
1.925	0.533075	
1.92775	0.533075	
1.9305	0.533075	
1.93325	0.533075	
1.936	0.533075	
1.93875	0.533075	
1.9415	0.533075	
1.94425	0.533075	
1.947	0.533075	
1.94975	0.533075	
1.9525	0.533075	
1.95525	0.533075	
1.958	0.533075	
1.96075	0.533075	
1.9635	0.533075	
1.96625	0.533075	
1.969	0.533075	
1.97175	0.533075	
1.9745	0.533075	
1.97725	0.533075	
1.98	0.533075	
1.98275	0.533075	
1.9855	0.533075	
1.98825	0.533075	
1.991	0.533075	
1.99375	0.533075	
1.9965	0.533075	
1.99925	0.533075	
2.002	0.533075	
2.00475	0.533075	
2.0075	0.533075	
2.01025	-0.0015151	
2.013	-0.000604271	
2.01575	0.00069691	
2.0185	-0.000344035	
2.02125	-0.000734389	
2.024	-0.000604271	
2.02675	0.000501733	
2.0295	0.00069691	
2.03225	-0.00125486	
2.035	-0.000539212	
2.03775	-0.00145004	
2.0405	-0.0015151	
2.04325	0.00128244	
2.046	0.000371615	
2.04875	-0.000539212	
2.0515	0.000111378	
2.05425	0.000631851	
2.057	-0.000474153	
2.05975	0.00290892	
2.0625	0.000827028	
2.06525	0.000241496	
2.068	-0.00171028	
2.07075	-0.000734389	
2.0735	0.00121738	
2.07625	-0.00171028	
2.079	0.00069691	
2.08175	-0.000929566	
2.0845	0.000631851	
2.08725	0.000306556	
2.09	-0.000409094	
2.09275	-0.000409094	
2.0955	-0.000994626	
2.09825	0.000957146	
2.101	0.00108726	
2.10375	0.000957146	
2.1065	-0.00066933	
2.10925	0.00141256	
2.112	-0.000213917	
2.11475	0.0013475	
2.1175	0.000827028	
2.12025	0.000501733	
2.123	0.000631851	
2.12575	-0.0011898	
2.1285	0.00108726	
2.13125	0.00316915	
2.134	-0.00268616	
2.13675	-1.87397E-5	
2.1395	-0.0011898	
2.14225	-0.00145004	
2.145	-0.000539212	
2.14775	0.000436674	
2.1505	0.000761969	
2.15325	-0.000278976	
2.156	0.000306556	
2.15875	-8.37988E-5	
2.1615	0.00225833	
2.16425	0.00115232	
2.167	-0.000994626	
2.16975	0.00154268	
2.1725	-0.00242592	
2.17525	-0.00066933	
2.178	-0.00210063	
2.18075	-1.87397E-5	
2.1835	0.000957146	
2.18625	-0.000409094	
2.189	-0.000929566	
2.19175	0.00147762	
2.1945	-0.000278976	
2.19725	-0.00177533	
2.2	0.000501733	
2.20275	4.63193E-5	
2.2055	-0.00131992	
2.20825	0.000566792	
2.211	-8.37988E-5	
2.21375	-0.000929566	
2.2165	-0.00066933	
2.21925	0.0013475	
2.222	-0.00145004	
2.22475	4.63193E-5	
2.2275	-0.000474153	
2.23025	-0.000213917	
2.233	0.00225833	
2.23575	-0.00177533	
2.2385	-0.000604271	
2.24125	-0.000474153	
2.244	-0.00541864	
2.24675	0.000241496	
2.2495	0.00069691	
2.25225	0.000371615	
2.255	0.00154268	
2.25775	-0.00184039	
2.2605	-0.00164522	
2.26325	0.000566792	
2.266	-0.000604271	
2.26875	0.000371615	
2.2715	0.0056414	
2.27425	0.000241496	
2.277	0.000436674	
2.27975	-0.00158016	
2.2825	4.63193E-5	
2.28525	-0.000734389	
2.288	0.000501733	
2.29075	-0.000864507	
2.2935	0.000631851	
2.29625	-0.000539212	
