Displacement [mm] - FD curve	Force [N] - FD curve	
1.06975	0.000509684	
1.0725	0.000509684	
1.07525	0.000509684	
1.078	0.000509684	
1.08075	0.000509684	
1.0835	0.000611621	
1.08625	0.000611621	
1.089	0.000611621	
1.09175	0.000611621	
1.0945	0.000611621	
1.09725	0.000611621	
1.1	0.000611621	
1.10275	0.000611621	
1.1055	0.000611621	
1.10825	0.000611621	
1.111	0.000611621	
1.11375	0.000611621	
1.1165	0.000713558	
1.11925	0.000713558	
1.122	0.000713558	
1.12475	0.000713558	
1.1275	0.000713558	
1.13025	0.000713558	
1.133	0.000713558	
1.13575	0.000713558	
1.1385	0.000713558	
1.14125	0.000713558	
1.144	0.000713558	
1.14675	0.000713558	
1.1495	0.000815494	
1.15225	0.000815494	
1.155	0.000815494	
1.15775	0.000815494	
1.1605	0.000815494	
1.16325	0.000917431	
1.166	0.000917431	
1.16875	0.000917431	
1.1715	0.000917431	
1.17425	0.000917431	
1.177	0.000917431	
1.17975	0.000917431	
1.1825	0.000917431	
1.18525	0.000917431	
1.188	0.000917431	
1.19075	0.00101937	
1.1935	0.00101937	
1.19625	0.00101937	
1.199	0.00101937	
1.20175	0.00101937	
1.2045	0.0011213	
1.20725	0.0011213	
1.21	0.0011213	
1.21275	0.0011213	
1.2155	0.0011213	
1.21825	0.0011213	
1.221	0.0011213	
1.22375	0.0011213	
1.2265	0.0011213	
1.22925	0.00122324	
1.232	0.00122324	
1.23475	0.00122324	
1.2375	0.00122324	
1.24025	0.00132518	
1.243	0.00132518	
1.24575	0.00132518	
1.2485	0.00132518	
1.25125	0.00132518	
1.254	0.00132518	
1.25675	0.00132518	
1.2595	0.00132518	
1.26225	0.00132518	
1.265	0.00132518	
1.26775	0.00142712	
1.2705	0.00142712	
1.27325	0.00142712	
1.276	0.00142712	
1.27875	0.00142712	
1.2815	0.00152905	
1.28425	0.00152905	
1.287	0.00152905	
1.28975	0.00152905	
1.2925	0.00163099	
1.29525	0.00163099	
1.298	0.00163099	
1.30075	0.00163099	
1.3035	0.00163099	
1.30625	0.00163099	
1.309	0.00163099	
1.31175	0.00163099	
1.3145	0.00163099	
1.31725	0.00173293	
1.32	0.00173293	
1.32275	0.00173293	
1.3255	0.00173293	
1.32825	0.00183486	
1.331	0.00183486	
1.33375	0.00183486	
1.3365	0.00183486	
1.33925	0.00183486	
1.342	0.00183486	
1.34475	0.00183486	
1.3475	0.00183486	
1.35025	0.00183486	
1.353	0.00183486	
1.35575	0.0019368	
1.3585	0.0019368	
1.36125	0.0019368	
1.364	0.0019368	
1.36675	0.0019368	
1.3695	0.00203874	
1.37225	0.00203874	
1.375	0.00203874	
1.37775	0.00203874	
1.3805	0.00203874	
1.38325	0.00203874	
1.386	0.00203874	
1.38875	0.00203874	
1.3915	0.00203874	
1.39425	0.00214067	
1.397	0.00214067	
1.39975	0.00214067	
1.4025	0.00214067	
1.40525	0.00224261	
1.408	0.00224261	
1.41075	0.00224261	
1.4135	0.00224261	
1.41625	0.00224261	
1.419	0.00224261	
1.42175	0.00224261	
1.4245	0.00224261	
1.42725	0.00234455	
1.43	0.00234455	
1.43275	0.00234455	
1.4355	0.00234455	
1.43825	0.00244648	
1.441	0.00244648	
