Input File: H12.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 800
Start Freq.: 100 Hz
Stop  Freq.: 5 kHz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: On
Ramp Rate:          1 V/S
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:   10
Integration Time:   15.625 ms
Integration Cycles:   20

    X[Hz]         Mag[dB]     
  1.093492e+03  -1.287961e+01 
  1.099625e+03  -1.259147e+01 
  1.105757e+03  -1.209323e+01 
  1.111890e+03  -1.089308e+01 
  1.118023e+03  -9.824925e+00 
  1.124155e+03  -8.830471e+00 
  1.130288e+03  -7.961210e+00 
  1.136421e+03  -7.178852e+00 
  1.142553e+03  -6.460817e+00 
  1.148686e+03  -5.825198e+00 
  1.154818e+03  -5.346473e+00 
  1.160951e+03  -4.687812e+00 
  1.167084e+03  -4.236349e+00 
  1.173217e+03  -3.728992e+00 
  1.179349e+03  -3.238448e+00 
  1.185482e+03  -2.828566e+00 
  1.191615e+03  -2.426656e+00 
  1.197747e+03  -2.017788e+00 
  1.203880e+03  -1.671014e+00 
  1.210013e+03  -1.278139e+00 
  1.216145e+03  -9.129661e-01 
  1.222278e+03  -5.316668e-01 
  1.228411e+03  -1.704616e-01 
  1.234543e+03   1.567314e-01 
  1.240676e+03   5.106316e-01 
  1.246808e+03   9.243795e-01 
  1.252941e+03   1.328038e+00 
  1.259074e+03   1.744194e+00 
  1.265207e+03   2.152231e+00 
  1.271339e+03   2.572320e+00 
  1.277472e+03   3.007732e+00 
  1.283604e+03   3.481966e+00 
  1.289737e+03   3.979508e+00 
  1.295870e+03   4.499523e+00 
  1.302003e+03   5.056664e+00 
  1.308135e+03   5.616949e+00 
  1.314268e+03   6.255622e+00 
  1.320401e+03   6.923753e+00 
  1.326533e+03   7.754230e+00 
  1.332666e+03   8.579669e+00 
  1.338798e+03   9.326759e+00 
  1.344931e+03   1.006546e+01 
  1.351064e+03   1.051519e+01 
  1.357197e+03   1.056742e+01 
  1.363329e+03   9.936889e+00 
  1.369462e+03   9.156525e+00 
  1.375594e+03   7.770465e+00 
  1.381727e+03   6.123810e+00 
  1.387860e+03   4.376391e+00 
  1.393992e+03   2.710770e+00 
  1.400125e+03   1.099990e+00 
  1.406258e+03  -4.895162e-01 
  1.412391e+03  -2.177904e+00 
  1.418523e+03  -3.887275e+00 
  1.424656e+03  -5.514635e+00 
  1.430788e+03  -7.147004e+00 
  1.436921e+03  -8.673338e+00 
  1.443054e+03  -1.005256e+01 
  1.449187e+03  -1.155222e+01 
  1.455319e+03  -1.245086e+01 
  1.461452e+03  -1.233227e+01 
  1.467584e+03  -1.187925e+01 
  1.473717e+03  -1.175115e+01 
  1.479850e+03  -1.103712e+01 
  1.485982e+03  -1.020665e+01 
  1.492115e+03  -9.277732e+00 
  1.498248e+03  -8.459494e+00 
  1.504380e+03  -7.729489e+00 
  1.510513e+03  -7.102144e+00 
  1.516646e+03  -6.477752e+00 
  1.522778e+03  -5.849212e+00 
  1.528911e+03  -5.311741e+00 
  1.535044e+03  -4.794772e+00 
  1.541177e+03  -4.313447e+00 
  1.547309e+03  -3.934566e+00 
  1.553442e+03  -3.508909e+00 
  1.559574e+03  -3.061487e+00 
  1.565707e+03  -2.661288e+00 
  1.571840e+03  -2.307655e+00 
  1.577972e+03  -1.910540e+00 
  1.584105e+03  -1.555996e+00 
  1.590238e+03  -1.183183e+00 
  1.596370e+03  -8.454537e-01 
  1.602503e+03  -4.954069e-01 
  1.608636e+03  -1.318582e-01 
  1.614768e+03   2.093509e-01 
  1.620901e+03   5.756924e-01 
  1.627034e+03   9.619838e-01 
  1.633167e+03   1.377330e+00 
  1.639299e+03   1.775012e+00 
  1.645432e+03   2.140162e+00 
  1.651564e+03   2.490793e+00 
  1.657697e+03   2.937019e+00 
  1.663830e+03   3.357050e+00 
  1.669962e+03   3.771259e+00 
  1.676095e+03   4.182145e+00 
  1.682228e+03   4.609646e+00 
  1.688360e+03   4.919797e+00 
  1.694493e+03   5.304804e+00 
  1.700626e+03   5.765449e+00 
  1.706758e+03   6.502874e+00 
  1.712891e+03   7.132100e+00 
  1.719024e+03   7.674908e+00 
  1.725156e+03   8.022098e+00 
  1.731289e+03   8.613317e+00 
  1.737422e+03   8.976589e+00 
  1.743554e+03   9.246722e+00 
  1.749687e+03   9.353767e+00 
  1.755820e+03   9.114298e+00 
  1.761952e+03   8.710167e+00 
  1.768085e+03   8.462367e+00 
  1.774218e+03   7.924622e+00 
  1.780350e+03   6.982850e+00 
  1.786483e+03   6.182012e+00 
  1.792616e+03   5.217041e+00 
  1.798748e+03   4.291409e+00 
  1.804881e+03   3.344503e+00 
  1.811014e+03   2.275024e+00 
  1.817146e+03   1.231347e+00 
  1.823279e+03   2.473287e-01 
  1.829412e+03  -5.047879e-01 
  1.835544e+03  -1.429259e+00 
  1.841677e+03  -2.375384e+00 
  1.847810e+03  -3.329134e+00 
  1.853942e+03  -4.361838e+00 
  1.860075e+03  -5.296953e+00 
  1.866208e+03  -6.057611e+00 
  1.872340e+03  -6.876314e+00 
  1.878473e+03  -7.676845e+00 
  1.884606e+03  -8.468821e+00 
  1.890738e+03  -9.070671e+00 
  1.896871e+03  -9.477671e+00 
  1.903004e+03  -9.722647e+00 
  1.909136e+03  -9.846819e+00 
  1.915269e+03  -9.849756e+00 
  1.921402e+03  -9.696997e+00 
  1.927534e+03  -9.449043e+00 
  1.933667e+03  -9.147189e+00 
  1.939800e+03  -8.797863e+00 
  1.945932e+03  -8.408317e+00 
  1.952065e+03  -7.810519e+00 
  1.958198e+03  -7.175697e+00 
  1.964330e+03  -6.880737e+00 
  1.970463e+03  -6.611603e+00 
  1.976596e+03  -6.297371e+00 
  1.982728e+03  -5.904386e+00 
  1.988861e+03  -5.479770e+00 
  1.994994e+03  -5.110853e+00 
  2.001126e+03  -4.658005e+00 
  2.007259e+03  -4.059059e+00 
  2.013392e+03  -3.647467e+00 
  2.019524e+03  -3.349922e+00 
  2.025657e+03  -2.987158e+00 
  2.031790e+03  -2.664418e+00 
  2.037922e+03  -2.334664e+00 
  2.044055e+03  -1.956786e+00 
  2.050188e+03  -1.552107e+00 
  2.056320e+03  -1.168504e+00 
  2.062453e+03  -8.692503e-01 
  2.068586e+03  -5.252625e-01 
  2.074719e+03  -1.823265e-01 
  2.080851e+03   8.605114e-02 
  2.086984e+03   2.530581e-01 
  2.093116e+03   5.648189e-01 
  2.099249e+03   8.665701e-01 
  2.105382e+03   9.396004e-01 
  2.111514e+03   9.822181e-01 
  2.117647e+03   1.243078e+00 
  2.123780e+03   1.615642e+00 
  2.129912e+03   2.001533e+00 
  2.136045e+03   2.360485e+00 
  2.142178e+03   2.727489e+00 
  2.148310e+03   3.165862e+00 
  2.154443e+03   3.382756e+00 
  2.160576e+03   3.456947e+00 
  2.166708e+03   3.455210e+00 
  2.172841e+03   3.360783e+00 
  2.178974e+03   3.170909e+00 
  2.185106e+03   3.047498e+00 
  2.191239e+03   3.080328e+00 
  2.197372e+03   3.336344e+00 
  2.203504e+03   3.062397e+00 
  2.209637e+03   2.480834e+00 
  2.215770e+03   2.067976e+00 
  2.221902e+03   1.782570e+00 
  2.228035e+03   1.694912e+00 
  2.234168e+03   1.407590e+00 
  2.240300e+03   1.229775e+00 
  2.246433e+03   8.009228e-01 
  2.252566e+03   2.621409e-01 
  2.258698e+03  -2.253078e-01 
  2.264831e+03  -7.341650e-01 
  2.270964e+03  -9.886495e-01 
  2.277096e+03  -1.262729e+00 
  2.283229e+03  -1.467777e+00 
  2.289362e+03  -1.573849e+00 
  2.295494e+03  -1.417013e+00 
  2.301627e+03  -1.420759e+00 
  2.307760e+03  -1.604972e+00 
  2.313892e+03  -2.065798e+00 
  2.320025e+03  -2.536496e+00 
  2.326158e+03  -2.776012e+00 
  2.332290e+03  -2.622717e+00 
  2.338423e+03  -2.317654e+00 
  2.344556e+03  -2.075727e+00 
  2.350688e+03  -1.979910e+00 
  2.356821e+03  -2.054562e+00 
  2.362954e+03  -1.967365e+00 
  2.369086e+03  -1.798705e+00 
  2.375219e+03  -1.508952e+00 
  2.381352e+03  -1.372728e+00 
  2.387484e+03  -1.018096e+00 
  2.393617e+03  -7.964113e-01 
  2.399750e+03  -5.690150e-01 
  2.405882e+03  -3.185271e-01 
  2.412015e+03  -9.741208e-02 
  2.418148e+03   2.008916e-01 
  2.424280e+03   4.477343e-01 
  2.430413e+03   7.314029e-01 
  2.436546e+03   1.054874e+00 
  2.442678e+03   1.250586e+00 
  2.448811e+03   1.522993e+00 
  2.454944e+03   1.941773e+00 
  2.461076e+03   2.208110e+00 
  2.467209e+03   2.438306e+00 
  2.473342e+03   2.546164e+00 
  2.479474e+03   2.769118e+00 
  2.485607e+03   3.155401e+00 
  2.491740e+03   3.338695e+00 
  2.497872e+03   3.398875e+00 
  2.504005e+03   3.668657e+00 
  2.510138e+03   3.804629e+00 
  2.516270e+03   3.860362e+00 
  2.522403e+03   3.852451e+00 
  2.528536e+03   3.953496e+00 
  2.534668e+03   4.302793e+00 
  2.540801e+03   4.352878e+00 
  2.546934e+03   4.363734e+00 
  2.553066e+03   4.471134e+00 
  2.559199e+03   4.499989e+00 
  2.565332e+03   4.582072e+00 
  2.571464e+03   4.591187e+00 
  2.577597e+03   4.543691e+00 
  2.583730e+03   4.259785e+00 
  2.589862e+03   4.164693e+00 
  2.595995e+03   4.089399e+00 
  2.602128e+03   3.981719e+00 
  2.608260e+03   3.755728e+00 
  2.614393e+03   3.503339e+00 
  2.620526e+03   3.083485e+00 
  2.626658e+03   2.838897e+00 
  2.632791e+03   2.730992e+00 
  2.638924e+03   2.502728e+00 
  2.645056e+03   2.125490e+00 
  2.651189e+03   1.783536e+00 
  2.657322e+03   1.333095e+00 
  2.663454e+03   1.073045e+00 
  2.669587e+03   7.990454e-01 
  2.675720e+03   1.543331e-01 
  2.681852e+03  -3.125925e-01 
  2.687985e+03  -5.723312e-01 
  2.694118e+03  -5.727935e-01 
  2.700250e+03  -7.977040e-01 
  2.706383e+03  -1.243804e+00 
  2.712516e+03  -1.625049e+00 
  2.718648e+03  -1.721825e+00 
  2.724781e+03  -1.844275e+00 
  2.730914e+03  -1.902283e+00 
  2.737046e+03  -1.969442e+00 
  2.743179e+03  -2.076148e+00 
  2.749312e+03  -2.075333e+00 
  2.755444e+03  -2.159738e+00 
  2.761577e+03  -1.929163e+00 
  2.767710e+03  -1.698108e+00 
  2.773842e+03  -1.379627e+00 
  2.779975e+03  -1.047193e+00 
  2.786108e+03  -5.709925e-01 
  2.792240e+03   5.167487e-02 
  2.798373e+03   6.294525e-01 
  2.804506e+03   1.100171e+00 
  2.810638e+03   1.412302e+00 
  2.816771e+03   1.772886e+00 
  2.822904e+03   1.861947e+00 
  2.829036e+03   1.731092e+00 
  2.835169e+03   1.515304e+00 
  2.841302e+03   1.465418e+00 
  2.847434e+03   1.369542e+00 
  2.853567e+03   1.237903e+00 
  2.859700e+03   1.357336e+00 
  2.865832e+03   1.464825e+00 
  2.871965e+03   1.456595e+00 
  2.878098e+03   1.599698e+00 
  2.884230e+03   2.011238e+00 
  2.890363e+03   2.223648e+00 
  2.896496e+03   2.620739e+00 
  2.902628e+03   2.856032e+00 
  2.908761e+03   2.939003e+00 
  2.914894e+03   3.057550e+00 
  2.921026e+03   3.322981e+00 
  2.927159e+03   3.699578e+00 
  2.933292e+03   3.976647e+00 
  2.939424e+03   4.038175e+00 
  2.945557e+03   4.045008e+00 
  2.951690e+03   4.047299e+00 
  2.957822e+03   4.116909e+00 
  2.963955e+03   4.087645e+00 
  2.970088e+03   4.120666e+00 
  2.976220e+03   4.024444e+00 
  2.982353e+03   3.963408e+00 
  2.988486e+03   3.836109e+00 
  2.994618e+03   3.809302e+00 
  3.000751e+03   3.691937e+00 
  3.006884e+03   3.536059e+00 
  3.013016e+03   3.390153e+00 
  3.019149e+03   3.162369e+00 
  3.025281e+03   2.908951e+00 
  3.031414e+03   2.532464e+00 
  3.037547e+03   2.187750e+00 
  3.043680e+03   1.863136e+00 
  3.049812e+03   1.579256e+00 
  3.055945e+03   1.410501e+00 
  3.062078e+03   1.325261e+00 
  3.068210e+03   1.152131e+00 
  3.074343e+03   7.860450e-01 
  3.080476e+03   5.332936e-01 
  3.086608e+03   3.121591e-01 
  3.092741e+03   1.105739e-01 
  3.098874e+03  -5.589018e-02 
  3.105006e+03  -2.677867e-01 
  3.111139e+03  -6.924579e-01 
  3.117271e+03  -1.126652e+00 
  3.123404e+03  -1.412695e+00 
  3.129537e+03  -1.605384e+00 
  3.135670e+03  -1.811304e+00 
  3.141802e+03  -2.085252e+00 
  3.147935e+03  -2.201222e+00 
  3.154068e+03  -2.396926e+00 
  3.160200e+03  -2.507449e+00 
  3.166333e+03  -2.671635e+00 
  3.172466e+03  -2.834037e+00 
  3.178598e+03  -3.002413e+00 
  3.184731e+03  -3.221733e+00 
  3.190864e+03  -3.409319e+00 
  3.196996e+03  -3.404831e+00 
  3.203129e+03  -3.474434e+00 
  3.209261e+03  -3.692590e+00 
  3.215394e+03  -3.765456e+00 
  3.221527e+03  -3.833444e+00 
  3.227660e+03  -3.842894e+00 
  3.233792e+03  -3.766860e+00 
  3.239925e+03  -3.580170e+00 
  3.246058e+03  -3.380482e+00 
  3.252190e+03  -3.167044e+00 
  3.258323e+03  -2.819582e+00 
  3.264456e+03  -2.310494e+00 
  3.270588e+03  -1.973341e+00 
  3.276721e+03  -1.875379e+00 
  3.282854e+03  -1.734799e+00 
  3.288986e+03  -1.542331e+00 
  3.295119e+03  -1.282727e+00 
  3.301251e+03  -1.110917e+00 
  3.307384e+03  -8.035713e-01 
  3.313517e+03  -4.508316e-01 
  3.319650e+03  -1.489688e-01 
  3.325782e+03   9.942318e-02 
  3.331915e+03   4.688746e-01 
  3.338048e+03   8.502047e-01 
  3.344180e+03   1.239533e+00 
  3.350313e+03   1.388432e+00 
  3.356446e+03   1.490380e+00 
  3.362578e+03   1.431042e+00 
  3.368711e+03   1.438915e+00 
  3.374844e+03   1.719027e+00 
  3.380976e+03   1.700730e+00 
  3.387109e+03   1.713695e+00 
  3.393241e+03   1.699352e+00 
  3.399374e+03   1.899111e+00 
  3.405507e+03   2.036178e+00 
  3.411640e+03   2.164777e+00 
  3.417772e+03   2.275250e+00 
  3.423905e+03   2.274974e+00 
  3.430038e+03   2.111132e+00 
  3.436170e+03   2.018736e+00 
  3.442303e+03   1.815364e+00 
  3.448436e+03   1.633962e+00 
  3.454568e+03   1.558511e+00 
  3.460701e+03   1.290086e+00 
  3.466833e+03   9.612478e-01 
  3.472966e+03   6.980893e-01 
  3.479099e+03   2.687039e-01 
  3.485231e+03  -9.017534e-02 
  3.491364e+03  -4.914088e-01 
  3.497497e+03  -8.667352e-01 
  3.503630e+03  -1.170157e+00 
  3.509762e+03  -1.430972e+00 
  3.515895e+03  -1.617848e+00 
  3.522028e+03  -1.623906e+00 
  3.528160e+03  -1.544437e+00 
  3.534293e+03  -1.419628e+00 
  3.540426e+03  -1.392484e+00 
  3.546558e+03  -1.583157e+00 
  3.552691e+03  -1.651624e+00 
  3.558823e+03  -1.714508e+00 
  3.564956e+03  -1.835619e+00 
  3.571089e+03  -1.871460e+00 
  3.577221e+03  -1.895655e+00 
  3.583354e+03  -1.858606e+00 
  3.589487e+03  -1.799311e+00 
  3.595620e+03  -1.938032e+00 
  3.601752e+03  -2.059768e+00 
  3.607885e+03  -2.227969e+00 
  3.614018e+03  -2.313072e+00 
  3.620150e+03  -2.432703e+00 
  3.626283e+03  -2.528875e+00 
  3.632416e+03  -2.687852e+00 
  3.638548e+03  -2.826662e+00 
  3.644681e+03  -2.767005e+00 
  3.650813e+03  -2.780939e+00 
  3.656946e+03  -2.689960e+00 
  3.663079e+03  -2.709846e+00 
  3.669211e+03  -2.545275e+00 
  3.675344e+03  -2.534074e+00 
  3.681477e+03  -2.591319e+00 
  3.687610e+03  -2.633905e+00 
  3.693742e+03  -2.459156e+00 
  3.699875e+03  -2.581899e+00 
  3.706008e+03  -2.716444e+00 
  3.712140e+03  -2.892204e+00 
  3.718273e+03  -2.932061e+00 
  3.724406e+03  -2.905483e+00 
  3.730538e+03  -2.923951e+00 
  3.736671e+03  -3.044641e+00 
  3.742803e+03  -2.906809e+00 
  3.748936e+03  -2.566136e+00 
  3.755069e+03  -2.551875e+00 
  3.761201e+03  -2.832535e+00 
  3.767334e+03  -2.883890e+00 
  3.773467e+03  -2.714213e+00 
  3.779600e+03  -2.630286e+00 
  3.785732e+03  -2.569672e+00 
  3.791865e+03  -2.553977e+00 
  3.797998e+03  -2.567061e+00 
  3.804130e+03  -2.509570e+00 
  3.810263e+03  -2.531767e+00 
  3.816396e+03  -2.605343e+00 
  3.822528e+03  -2.546140e+00 
  3.828661e+03  -2.518189e+00 
  3.834793e+03  -2.588894e+00 
  3.840926e+03  -2.652307e+00 
  3.847059e+03  -2.632750e+00 
  3.853191e+03  -2.640185e+00 
  3.859324e+03  -2.697585e+00 
  3.865457e+03  -2.697625e+00 
  3.871590e+03  -2.744991e+00 
  3.877722e+03  -2.822560e+00 
  3.883855e+03  -2.957875e+00 
  3.889988e+03  -3.182715e+00 
  3.896120e+03  -3.329903e+00 
  3.902253e+03  -3.319058e+00 
  3.908385e+03  -3.387709e+00 
  3.914518e+03  -3.522237e+00 
  3.920651e+03  -3.658794e+00 
  3.926783e+03  -3.865576e+00 
  3.932916e+03  -4.038277e+00 
  3.939049e+03  -4.119030e+00 
  3.945181e+03  -4.255489e+00 
  3.951314e+03  -4.320188e+00 
  3.957447e+03  -4.503925e+00 
  3.963580e+03  -4.636415e+00 
  3.969712e+03  -4.818806e+00 
