% Model:              M -220721 - Diapharagm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 28 2022, 22:02
% Dimension:          1
% Nodes:              580
% Expressions:        1
% Description:        Global
% freq (Hz)               FEM-2DX
100                       1.5490538532144556E-8
101.15794542598982        1.552326204012329E-8
102.32929922807536        1.555689068412069E-8
103.5142166679344         1.5591452860241317E-8
104.71285480508996        1.5626978901299507E-8
105.92537251772886        1.5663499728623455E-8
107.1519305237606         1.570104745517733E-8
108.39269140212039        1.573965583612396E-8
109.64781961431851        1.5779359610147657E-8
110.9174815262401         1.5820195272692425E-8
112.2018454301963         1.586220046650789E-8
113.50108156723155        1.5905414621966415E-8
114.81536214968828        1.5949878743945098E-8
116.14486138403426        1.59956354766126E-8
117.48975549395291        1.6042729478126597E-8
118.85022274370189        1.6091207040970108E-8
120.22644346174131        1.6141116718083824E-8
121.6186000646368         1.6192509119055534E-8
123.02687708123811        1.6245436876731905E-8
124.45146117713857        1.6299955402609367E-8
125.89254117941675        1.635612239989345E-8
127.35030810166616        1.6413997946635816E-8
128.82495516931337        1.6473645365974672E-8
130.31667784523           1.653513066721244E-8
131.82567385564073        1.659852303706289E-8
133.3521432163324         1.6663895052497427E-8
134.89628825916532        1.6731322724812217E-8
136.4583136588924         1.6800885846348253E-8
138.03842646028852        1.6872668130015225E-8
139.63683610559377        1.6946757653355586E-8
141.2537544622754         1.702324660210087E-8
142.8893958511102         1.710223231324397E-8
144.5439770745928         1.718381717152013E-8
146.21771744567184        1.7268108700782846E-8
147.91083881682073        1.735522053837873E-8
149.6235656094433         1.7445272328847567E-8
151.35612484362088        1.753839032757035E-8
153.10874616820303        1.7634707825427633E-8
154.88166189124811        1.7734365876499568E-8
156.67510701081486        1.7837513494378093E-8
158.48931924611142        1.7944308027929615E-8
160.32453906900417        1.8054917015694874E-8
162.18100973589299        1.8169517408349367E-8
164.05897731995387        1.828829698410295E-8
165.95869074375614        1.8411455796506963E-8
167.88040181225605        1.853920552720521E-8
169.82436524617444        1.8671772294837293E-8
171.79083871575875        1.8809396561497767E-8
