% Model:              M -220721 - Diapharagm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 28 2022, 22:02
% Dimension:          1
% Nodes:              580
% Expressions:        1
% Description:        Global
% freq (Hz)               FEM-2DX
100                       9.73299241054699E-6
101.15794542598982        9.866494020116268E-6
102.32929922807536        1.0002364305798998E-5
103.5142166679344         1.014066543073706E-5
104.71285480508996        1.0281462460070501E-5
105.92537251772886        1.0424822575116568E-5
107.1519305237606         1.057081554228586E-5
108.39269140212039        1.0719514107931255E-5
109.64781961431851        1.0870993652794932E-5
110.9174815262401         1.1025332816004313E-5
112.2018454301963         1.1182613184048426E-5
113.50108156723155        1.1342919844632694E-5
114.81536214968828        1.1506341359264541E-5
116.14486138403426        1.1672969931622028E-5
117.48975549395291        1.1842901811427974E-5
118.85022274370189        1.2016237157837346E-5
120.22644346174131        1.2193080647175287E-5
121.6186000646368         1.2373541483134008E-5
123.02687708123811        1.2557733532729233E-5
124.45146117713857        1.2745776081900585E-5
125.89254117941675        1.293779365417035E-5
127.35030810166616        1.3133916264713443E-5
128.82495516931337        1.3334280321544871E-5
130.31667784523           1.3539028411098308E-5
131.82567385564073        1.374830992905942E-5
133.3521432163324         1.3962281512673484E-5
134.89628825916532        1.4181107349837148E-5
136.4583136588924         1.4404959758268322E-5
138.03842646028852        1.4634019613887594E-5
139.63683610559377        1.4868477063866549E-5
141.2537544622754         1.5108531654562048E-5
142.8893958511102         1.535439362089915E-5
144.5439770745928         1.5606284209847344E-5
146.21771744567184        1.5864436188917775E-5
147.91083881682073        1.6129095193734112E-5
149.6235656094433         1.6400520135669272E-5
151.35612484362088        1.6678984292955137E-5
153.10874616820303        1.6964776284924047E-5
154.88166189124811        1.7258201386517698E-5
156.67510701081486        1.755958238711378E-5
158.48931924611142        1.786926066158683E-5
160.32453906900417        1.8187598777871728E-5
162.18100973589299        1.851498057461242E-5
164.05897731995387        1.8851813470871172E-5
165.95869074375614        1.9198530936677105E-5
167.88040181225605        1.9555592887807078E-5
169.82436524617444        1.9923489754012673E-5
171.79083871575875        2.0302743655101453E-5
173.78008287493762        2.0693911246935605E-5
175.7923613958693         2.1097587299561385E-5
177.82794100389228        2.151440701131516E-5
179.88709151287873        2.1945050486031236E-5
181.97008586099827        2.239024581642326E-5
184.07720014689562        2.285077417407602E-5
186.20871366628674        2.3327474274649656E-5
188.36490894898           2.382124790350705E-5
190.54607179632484        2.4333065965837365E-5
192.75249131909365        2.486397534677522E-5
194.98445997580455        2.5415106026572867E-5
197.24227361148533        2.5987680368573052E-5
199.52623149688787        2.658302153057338E-5
201.83663636815618        2.7202565367233266E-5
204.17379446695296        2.7847871405544442E-5
206.53801558105292        2.852063741729299E-5
208.92961308540387        2.9222714800728826E-5
211.34890398366477        2.9956125910405978E-5
213.79620895022325        3.072308502408247E-5
216.271852372702          3.152602070397126E-5
218.77616239495518        3.2367603426504216E-5
221.30947096056389        3.3250775561210416E-5
223.872113856834          3.417878700151167E-5
226.46443075930597        3.51552368845202E-5
229.08676527677724        3.61841209767172E-5
231.73946499684797        3.726988899680696E-5
234.42288153199226        3.841750967013444E-5
237.13737056616552        3.963254924903379E-5
239.88329190194898        4.0921264586359485E-5
242.66100950824142        4.229071273154476E-5
245.4708915685031         4.37488819891566E-5
248.31331052955704        4.530485523532555E-5
251.18864315095797        4.6968997737508344E-5
254.09727055493065        4.875319646925425E-5
257.03957827688646        5.067114837513239E-5
260.0159563165272         5.273871641533372E-5
263.02679918953817        5.497437941924375E-5
266.0725059798809         5.739979164731439E-5
