% Model:              M -220721 - Diapharagm.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 28 2022, 22:01
% Dimension:          1
% Nodes:              580
% Expressions:        1
% Description:        Point graph
% freq (Hz)               FEM-2DX
100                       8.575943125165584E-6
101.15794542598982        8.59396889057295E-6
102.32929922807536        8.612493246887827E-6
103.5142166679344         8.63153184044655E-6
104.71285480508996        8.651101372997503E-6
105.92537251772886        8.671218882303948E-6
107.1519305237606         8.69190205572818E-6
108.39269140212039        8.713169487757773E-6
109.64781961431851        8.735040314330448E-6
110.9174815262401         8.757534637357277E-6
112.2018454301963         8.78067319281336E-6
113.50108156723155        8.804477699665761E-6
114.81536214968828        8.828970746924596E-6
116.14486138403426        8.854175822923182E-6
117.48975549395291        8.880117528659127E-6
118.85022274370189        8.906821363310263E-6
120.22644346174131        8.934314072861766E-6
121.6186000646368         8.962623532144037E-6
123.02687708123811        8.991778738005306E-6
124.45146117713857        9.021810208203666E-6
125.89254117941675        9.052749732448976E-6
127.35030810166616        9.084630403107235E-6
128.82495516931337        9.11748709823299E-6
130.31667784523           9.151356181722416E-6
131.82567385564073        9.18627576176279E-6
133.3521432163324         9.222285819953064E-6
134.89628825916532        9.259428222310471E-6
136.4583136588924         9.297746925450915E-6
138.03842646028852        9.337288039988663E-6
139.63683610559377        9.378100080462635E-6
141.2537544622754         9.420233829452958E-6
142.8893958511102         9.463742903463565E-6
144.5439770745928         9.508683696910058E-6
146.21771744567184        9.555115442375446E-6
147.91083881682073        9.603100732813773E-6
149.6235656094433         9.652705472844296E-6
151.35612484362088        9.703999210238817E-6
153.10874616820303        9.757055366488075E-6
154.88166189124811        9.811951637410058E-6
156.67510701081486        9.8687701062019E-6
158.48931924611142        9.927597448833145E-6
160.32453906900417        9.988525947276052E-6
162.18100973589299        1.0051653074250936E-5
164.05897731995387        1.01170822678669E-5
165.95869074375614        1.0184923719956615E-5
167.88040181225605        1.0255294037286072E-5
169.82436524617444        1.032831776880345E-5
171.79083871575875        1.0404127373753693E-5
173.78008287493762        1.0482863979930068E-5
175.7923613958693         1.056467846243269E-5
177.82794100389228        1.06497317836423E-5
179.88709151287873        1.0738196346884897E-5
181.97008586099827        1.0830256574651761E-5
184.07720014689562        1.0926110338638818E-5
186.20871366628674        1.1025970016588776E-5
188.36490894898           1.1130063885840486E-5
190.54607179632484        1.1238637669646187E-5
192.75249131909365        1.1351956279411116E-5
194.98445997580455        1.147030552227343E-5
197.24227361148533        1.1593994611812699E-5
199.52623149688787        1.172335805992664E-5
201.83663636815618        1.1858758910247717E-5
204.17379446695296        1.2000591286583334E-5
206.53801558105292        1.2149284228182897E-5
208.92961308540387        1.2305305517589944E-5
211.34890398366477        1.2469165988326842E-5
213.79620895022325        1.2641424921689628E-5
216.271852372702          1.2822695548653364E-5
218.77616239495518        1.3013652161064198E-5
221.30947096056389        1.3215037549328174E-5
223.872113856834          1.3427672008597026E-5
226.46443075930597        1.365246389918875E-5
229.08676527677724        1.389042150377948E-5
231.73946499684797        1.41426676045237E-5
234.42288153199226        1.4410455743408399E-5
237.13737056616552        1.469519006835125E-5
239.88329190194898        1.499844885635804E-5
242.66100950824142        1.532201203059817E-5
245.4708915685031         1.5667894098808284E-5
248.31331052955704        1.6038385720115327E-5
251.18864315095797        1.6436100510337053E-5
254.09727055493065        1.6864035733529992E-5
257.03957827688646        1.732564483752617E-5
260.0159563165272         1.7824927037174047E-5
263.02679918953817        1.836654098268107E-5
266.0725059798809         1.8955945595837645E-5
269.1534803926917         1.9599579766744185E-5
272.27013080779125        2.0305092315891462E-5
275.4228703338166         2.1081641406632942E-5
278.61211686297696        2.1940284368032024E-5
281.8382931264455         2.2894498773667433E-5
285.10182675039096        2.396088282185823E-5
288.40315031266056        2.5160110746410506E-5
291.7427014001166         2.6518272910197905E-5
295.1209226666387         2.8068765032667576E-5
298.538261891796          2.9855044929335014E-5
301.9951720402016         3.193472848391673E-5
305.49211132155125        3.438586367224865E-5
309.0295432513592         3.731687431373022E-5
