% Model:              ME_Diaphragm_3DOF_linear_COMSOL.mph
% Version:            COMSOL 6.0.0.405
% Date:               Oct 22 2022, 20:03
% Dimension:          1
% Nodes:              580
% Expressions:        1
% Description:        Point graph
% freq (Hz)               FEM-2DX
100                       3.385646640465051
101.15794542598982        3.471790528087516
102.32929922807536        3.560316697659825
103.5142166679344         3.651300811273535
104.71285480508996        3.744821640300084
105.92537251772886        3.8409608958303663
107.1519305237606         3.9398034899428236
108.39269140212039        4.041437795704033
109.64781961431851        4.145955634288719
110.9174815262401         4.253452629089243
112.2018454301963         4.3640282190598
113.50108156723155        4.4777860035765045
114.81536214968828        4.594833879057594
116.14486138403426        4.7152842521957705
117.48975549395291        4.839254364676895
118.85022274370189        4.966866405088709
120.22644346174131        5.098247936319297
121.6186000646368         5.2335320886830266
123.02687708123811        5.372857822269097
124.45146117713857        5.516370449230067
125.89254117941675        5.6642217977474525
127.35030810166616        5.816570548777805
128.82495516931337        5.973582886821166
130.31667784523           6.135432685779497
131.82567385564073        6.302302068741741
133.3521432163324         6.474381919977367
134.89628825916532        6.6518723452161606
136.4583136588924         6.834983298633479
138.03842646028852        7.023935146794712
139.63683610559377        7.218959408302725
141.2537544622754         7.420299243424345
142.8893958511102         7.628210524190711
144.5439770745928         7.842962485553805
146.21771744567184        8.064838503556475
147.91083881682073        8.294137316174387
149.6235656094433         8.531173841281907
151.35612484362088        8.776280376547412
153.10874616820303        9.029807793613529
154.88166189124811        9.292126973459963
156.67510701081486        9.563630070510591
158.48931924611142        9.844731943614216
160.32453906900417        10.135872498918374
162.18100973589299        10.437517761405825
164.05897731995387        10.75016223035008
165.95869074375614        11.074331444779018
167.88040181225605        11.410583505148763
169.82436524617444        11.759512768693972
171.79083871575875        12.121752074757243
173.78008287493762        12.497976029447708
175.7923613958693         12.88890493568544
177.82794100389228        13.29530812631559
179.88709151287873        13.718008810409835
181.97008586099827        14.157888317483515
184.07720014689562        14.61589177895422
186.20871366628674        15.09303377359491
188.36490894898           15.590404879838463
190.54607179632484        16.109178975900004
192.75249131909365        16.65062142132229
194.98445997580455        17.21609785973052
197.24227361148533        17.807084965520662
199.52623149688787        18.42518114710505
201.83663636815618        19.07212026390121
204.17379446695296        19.749785429182726
206.53801558105292        20.460226118702533
208.92961308540387        21.205676783016866
211.34890398366477        21.988577924449295
213.79620895022325        22.81160098565211
216.271852372702          23.677675678577277
218.77616239495518        24.590022782568983
221.30947096056389        25.552190592906125
223.872113856834          26.568097790089453
226.46443075930597        27.64208343616044
229.08676527677724        28.77896435529298
231.73946499684797        29.984103683333196
234.42288153199226        31.26348965631394
237.13737056616552        32.62382992339084
239.88329190194898        34.07266342455485
242.66100950824142        35.61849258827532
245.4708915685031         37.27094154825832
248.31331052955704        39.04095123033053
251.18864315095797        40.94100743323111
254.09727055493065        42.985427522761114
257.03957827688646        45.19070786645249
260.0159563165272         47.57595311944998
263.02679918953817        50.16341666644787
266.0725059798809         52.9791749017064
269.1534803926917         56.05398545484295
272.27013080779125        59.42438626641218
275.4228703338166         63.13412394521632
278.61211686297696        67.23601863483105
281.8382931264455         71.79445064510853
285.10182675039096        76.8887060008655
288.40315031266056        82.61754489433591
291.7427014001166         89.10559458513754
295.1209226666387         96.51238360887281
298.538261891796          105.04550319989148
301.9951720402016         114.98017485476734
305.49211132155125        126.6892233396125
309.0295432513592         140.69057238377874
312.6079367123956         157.72542610237704
316.22776601683796        178.8931379755319
319.88951096913974        205.89725080640807
323.5936569296281         241.5266747058426
327.3406948788383         290.6838793301718
331.1311214825911         362.8549538376152
334.9654391578276         479.10093668789574
338.84415613920277        697.4614164818082
342.76778654645045        1257.6080909513357
346.73685045253166        5845.504116969595
350.75187395256796        2278.810688366738
354.8133892335753         966.3194510317958
358.92193464500536        618.3024190399634
363.0780547701014         457.33824666153623
367.2823004980846         364.5832263784002
371.53522909717276        304.2746801577234
375.8374042884443         261.93149984623165
380.1893963205613         230.5739342350728
384.5917820453535         206.42331036672147
389.04514499428046        187.25566047239164
393.55007545577723        171.67671405634508
398.1071705534973         158.76799008082853
402.71703432545905        147.89978876027865
407.3802778041126         138.62597626431025
412.0975190973304         130.6216318355712
416.8693834703355         123.64450096410057
421.6965034285823         117.51028050456048
426.57951880159254        112.07626102802519
431.519076827765          107.23022666263452
436.5158322401661         102.88271752604608
441.57044735331255        98.96154357641234
446.683592150963          95.40780783907874
451.8559443749226         92.17297953629513
457.0881896148752         89.2167105071671
462.38102139926036        86.50518231261442
467.73514128719813        84.00983292852278
473.15125896148027        81.706375546104
478.6300923226385         79.5740287088874
484.1723675840994         77.5949026583053
489.77881936844614        75.75351525610594
495.45019080479057        74.03640027769941
501.18723362727246        72.43178912472155
506.99070827470445        70.92934990907334
512.8613839913648         69.51997795395918
518.8000389289609         68.19561521651875
524.8074602497722         66.94910619047276
530.8844442309885         65.77407451141158
537.0317963702527         64.66481971277913
543.250331492433          63.61622928766501
549.5408738576248         62.62370574108
555.9042572704037         61.683102287344944
562.341325190349          60.79066986342209
568.8529308438414         59.94300953270678
575.4399373371566         59.13703353101083
582.1032177708715         58.36992989995397
588.843655355589          57.639131781018406
595.6621435290103         56.94229245783709
602.5595860743581         56.27726133046371
609.5368972401693         55.642064023146595
616.5950018614822         55.03488468730361
623.7348354824192         54.45405068785482
630.957344480193          53.898018201868894
638.263486190549          53.36536029975582
645.6542290346556         52.85475620552098
653.1305526474723         52.364981191213914
660.6934480075964         51.89489841958314
668.3439175686149         51.44345077279048
676.0829753919819         51.00965453927128
