Freq.	I(V1)	I(V1)/(2*pi*freq)	I(V2)	I(V2)/(2*pi*freq)
1.05925372517729e+002	(-4.47956717119069e+001dB,-9.00003295248226e+001°)	(-1.01259269079069e+002dB,-9.00003295248226e+001°)	(-9.97886731080024e+001dB,8.99996688817750e+001°)	(-1.56252270475165e+002dB,8.99996688817750e+001°)
1.06169555719872e+002	(-4.47715751432935e+001dB,-9.00003304404270e+001°)	(-1.01255172510456e+002dB,-9.00003304404270e+001°)	(-9.97645568607950e+001dB,8.99996679624949e+001°)	(-1.56248154227957e+002dB,8.99996679624949e+001°)
1.06414301822431e+002	(-4.47474577173782e+001dB,-9.00003313593718e+001°)	(-1.01251055084540e+002dB,-9.00003313593718e+001°)	(-9.97404196653620e+001dB,8.99996670398657e+001°)	(-1.56244017032524e+002dB,8.99996670398657e+001°)
1.06659612123026e+002	(-4.47233193179937e+001dB,-9.00003322816754e+001°)	(-1.01246916685156e+002dB,-9.00003322816754e+001°)	(-9.97162614051154e+001dB,8.99996661138694e+001°)	(-1.56239858772278e+002dB,8.99996661138694e+001°)
1.06905487922266e+002	(-4.46991598282235e+001dB,-9.00003332073558e+001°)	(-1.01242757195386e+002dB,-9.00003332073558e+001°)	(-9.96920819627162e+001dB,8.99996651844877e+001°)	(-1.56235679329879e+002dB,8.99996651844877e+001°)
1.07151930523760e+002	(-4.46749791303964e+001dB,-9.00003341364317e+001°)	(-1.01238576497559e+002dB,-9.00003341364317e+001°)	(-9.96678812200689e+001dB,8.99996642517019e+001°)	(-1.56231478587231e+002dB,8.99996642517019e+001°)
1.07398941234124e+002	(-4.46507771060804e+001dB,-9.00003350689216e+001°)	(-1.01234374473243e+002dB,-9.00003350689216e+001°)	(-9.96436590583150e+001dB,8.99996633154936e+001°)	(-1.56227256425477e+002dB,8.99996633154936e+001°)
1.07646521362983e+002	(-4.46265536360768e+001dB,-9.00003360048441e+001°)	(-1.01230151003239e+002dB,-9.00003360048441e+001°)	(-9.96194153578274e+001dB,8.99996623758440e+001°)	(-1.56223012724990e+002dB,8.99996623758440e+001°)
1.07894672222983e+002	(-4.46023086004140e+001dB,-9.00003369442183e+001°)	(-1.01225905967576e+002dB,-9.00003369442183e+001°)	(-9.95951499982041e+001dB,8.99996614327342e+001°)	(-1.56218747365366e+002dB,8.99996614327342e+001°)
1.08143395129794e+002	(-4.45780418783416e+001dB,-9.00003378870631e+001°)	(-1.01221639245504e+002dB,-9.00003378870631e+001°)	(-9.95708628582623e+001dB,8.99996604861452e+001°)	(-1.56214460225425e+002dB,8.99996604861452e+001°)
1.08392691402120e+002	(-4.45537533483238e+001dB,-9.00003388333977e+001°)	(-1.01217350715486e+002dB,-9.00003388333977e+001°)	(-9.95465538160321e+001dB,8.99996595360576e+001°)	(-1.56210151183194e+002dB,8.99996595360576e+001°)
