Freq.	-V(n001)/I(V1)	-V(n003)/I(V2)
1.31825673855641e+002	(1.50700577150407e+002dB,-9.00000000000000e+001°)	(9.40906660509537e+001dB,8.99999988653246e+001°)
1.32586711776056e+002	(1.50650577150408e+002dB,-9.00000000000000e+001°)	(9.41408146481306e+001dB,8.99999988718182e+001°)
1.33352143216333e+002	(1.50600577150408e+002dB,-9.00000000000000e+001°)	(9.41909649685682e+001dB,8.99999988782745e+001°)
1.34121993540538e+002	(1.50550577150407e+002dB,-9.00000000000000e+001°)	(9.42411170322813e+001dB,8.99999988846936e+001°)
1.34896288259166e+002	(1.50500577150407e+002dB,-9.00000000000000e+001°)	(9.42912708595179e+001dB,8.99999988910757e+001°)
1.35675053029987e+002	(1.50450577150407e+002dB,-9.00000000000000e+001°)	(9.43414264707618e+001dB,8.99999988974211e+001°)
1.36458313658893e+002	(1.50400577150409e+002dB,-9.00000000000000e+001°)	(9.43915838867355e+001dB,8.99999989037300e+001°)
1.37246096100757e+002	(1.50350577150408e+002dB,-9.00000000000000e+001°)	(9.44417431284029e+001dB,8.99999989100025e+001°)
1.38038426460289e+002	(1.50300577150407e+002dB,-9.00000000000000e+001°)	(9.44919042169722e+001dB,8.99999989162389e+001°)
1.38835330992905e+002	(1.50250577150407e+002dB,-9.00000000000000e+001°)	(9.45420671738991e+001dB,8.99999989224394e+001°)
1.39636836105594e+002	(1.50200577150407e+002dB,-9.00000000000000e+001°)	(9.45922320208888e+001dB,8.99999989286042e+001°)
1.40442968357795e+002	(1.50150577150407e+002dB,-9.00000000000000e+001°)	(9.46423987798999e+001dB,8.99999989347335e+001°)
1.41253754462276e+002	(1.50100577150407e+002dB,-9.00000000000000e+001°)	(9.46925674731468e+001dB,8.99999989408274e+001°)
1.42069221286019e+002	(1.50050577150407e+002dB,-9.00000000000000e+001°)	(9.47427381231029e+001dB,8.99999989468863e+001°)
1.42889395851111e+002	(1.50000577150408e+002dB,-9.00000000000000e+001°)	(9.47929107525036e+001dB,8.99999989529103e+001°)
1.43714305335640e+002	(1.49950577150407e+002dB,-9.00000000000000e+001°)	(9.48430853843494e+001dB,8.99999989588996e+001°)
1.44543977074593e+002	(1.49900577150407e+002dB,-9.00000000000000e+001°)	(9.48932620419090e+001dB,8.99999989648544e+001°)
1.45378438560767e+002	(1.49850577150407e+002dB,-9.00000000000000e+001°)	(9.49434407487224e+001dB,8.99999989707749e+001°)
1.46217717445672e+002	(1.49800577150407e+002dB,-9.00000000000000e+001°)	(9.49936215286041e+001dB,8.99999989766612e+001°)
1.47061841540457e+002	(1.49750577150408e+002dB,-9.00000000000000e+001°)	(9.50438044056465e+001dB,8.99999989825137e+001°)
1.47910838816821e+002	(1.49700577150408e+002dB,-9.00000000000000e+001°)	(9.50939894042228e+001dB,8.99999989883325e+001°)
1.48764737407951e+002	(1.49650577150408e+002dB,-9.00000000000000e+001°)	(9.51441765489907e+001dB,8.99999989941177e+001°)
1.49623565609444e+002	(1.49600577150407e+002dB,-9.00000000000000e+001°)	(9.51943658648955e+001dB,8.99999989998696e+001°)
1.50487351880252e+002	(1.49550577150408e+002dB,-9.00000000000000e+001°)	(9.52445573771734e+001dB,8.99999990055883e+001°)
1.51356124843621e+002	(1.49500577150408e+002dB,-9.00000000000000e+001°)	(9.52947511113553e+001dB,8.99999990112741e+001°)
1.52229913288043e+002	(1.49450577150408e+002dB,-9.00000000000000e+001°)	(9.53449470932700e+001dB,8.99999990169271e+001°)
1.53108746168204e+002	(1.49400577150407e+002dB,-9.00000000000000e+001°)	(9.53951453490474e+001dB,8.99999990225476e+001°)
1.53992652605950e+002	(1.49350577150407e+002dB,-9.00000000000000e+001°)	(9.54453459051227e+001dB,8.99999990281357e+001°)
1.54881661891249e+002	(1.49300577150407e+002dB,-9.00000000000000e+001°)	(9.54955487882396e+001dB,8.99999990336915e+001°)
1.55775803483161e+002	(1.49250577150407e+002dB,-9.00000000000000e+001°)	(9.55457540254539e+001dB,8.99999990392154e+001°)
1.56675107010816e+002	(1.49200577150406e+002dB,-9.00000000000000e+001°)	(9.55959616441373e+001dB,8.99999990447074e+001°)
1.57579602274393e+002	(1.49150577150407e+002dB,-9.00000000000000e+001°)	(9.56461716719812e+001dB,8.99999990501677e+001°)
1.58489319246112e+002	(1.49100577150407e+002dB,-9.00000000000000e+001°)	(9.56963841370001e+001dB,8.99999990555966e+001°)
1.59404288071222e+002	(1.49050577150407e+002dB,-9.00000000000000e+001°)	(9.57465990675357e+001dB,8.99999990609941e+001°)
1.60324539069005e+002	(1.49000577150407e+002dB,-9.00000000000000e+001°)	(9.57968164922610e+001dB,8.99999990663606e+001°)
1.61250102733775e+002	(1.48950577150407e+002dB,-9.00000000000000e+001°)	(9.58470364401835e+001dB,8.99999990716961e+001°)
1.62181009735894e+002	(1.48900577150407e+002dB,-9.00000000000000e+001°)	(9.58972589406498e+001dB,8.99999990770009e+001°)
1.63117290922785e+002	(1.48850577150407e+002dB,-9.00000000000000e+001°)	(9.59474840233493e+001dB,8.99999990822750e+001°)
1.64058977319955e+002	(1.48800577150407e+002dB,-9.00000000000000e+001°)	(9.59977117183182e+001dB,8.99999990875188e+001°)
1.65006100132024e+002	(1.48750577150407e+002dB,-9.00000000000000e+001°)	(9.60479420559436e+001dB,8.99999990927323e+001°)
1.65958690743757e+002	(1.48700577150407e+002dB,-9.00000000000000e+001°)	(9.60981750669679e+001dB,8.99999990979157e+001°)
1.66916780721107e+002	(1.48650577150407e+002dB,-9.00000000000000e+001°)	(9.61484107824928e+001dB,8.99999991030693e+001°)
1.67880401812257e+002	(1.48600577150407e+002dB,-9.00000000000000e+001°)	(9.61986492339832e+001dB,8.99999991081931e+001°)
1.68849585948676e+002	(1.48550577150408e+002dB,-9.00000000000000e+001°)	(9.62488904532723e+001dB,8.99999991132874e+001°)
1.69824365246175e+002	(1.48500577150407e+002dB,-9.00000000000000e+001°)	(9.62991344725651e+001dB,8.99999991183523e+001°)
1.70804772005972e+002	(1.48450577150407e+002dB,-9.00000000000000e+001°)	(9.63493813244433e+001dB,8.99999991233880e+001°)
1.71790838715760e+002	(1.48400577150408e+002dB,-9.00000000000000e+001°)	(9.63996310418695e+001dB,8.99999991283946e+001°)
