% Model:              AC -220722 - Compressor.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 22 2022, 20:34
% Dimension:          1
% Nodes:              1601
% Expressions:        1
% Description:        Global
% freq (Hz)               2DX, |Z<sub>ac</sub>|
100                       44689.222319355504
100.28823774509846        44818.252301901666
100.57730630017382        44947.656096983796
100.8672080599342         45077.43479849288
101.15794542598982        45207.58950380579
101.44952080687364        45338.12131346827
101.74193661806045        45469.031331356084
102.03519528198785        45600.32066467727
102.32929922807536        45731.990424055424
102.62425089274542        45864.04172329034
102.92005271944286        45996.475679814284
103.21670715865542        46129.29341414554
103.5142166679344         46262.49605037856
103.8125837119143         46396.08471598283
104.11181076233397        46530.06054163319
104.41190029805638        46664.4246618346
104.71285480508996        46799.1782140495
105.01467677660837        46934.322339495586
105.3173687129716         47069.858182722266
105.6209331217469         47205.78689181973
105.92537251772886        47342.10961817925
106.2306894229611         47478.82751691548
106.53688636675629        47615.94174645646
106.84396588571794        47753.453468750486
107.1519305237606         47891.36384948984
107.46078283213176        48029.67405759705
107.77052536943224        48168.385265651166
108.08116070163774        48307.498649808294
108.39269140212039        48447.01538992399
108.70512005166928        48586.936669124625
109.01844923851279        48727.26367440014
109.33268155833908        48867.99759622334
109.64781961431851        49009.13962861937
109.96386601712433        49150.69096944466
110.28082338495518        49292.6528199729
110.59869434355599        49435.02638527819
110.9174815262401         49577.81287401274
111.23718757391133        49721.0134985551
111.55781513508519        49864.629474908346
111.87936686591168        50008.662022911834
112.2018454301963         50153.112365884954
112.52525349942316        50297.98173112436
112.84959375277622        50443.271349521776
113.17486887716188        50588.98245574225
113.50108156723155        50735.11628816635
113.82823452540319        50881.67408911815
114.1563304618846         51028.657104426
114.48537209469495        51176.06658400888
114.81536214968828        51323.90378143458
115.14630336057506        51472.16995413427
115.47819846894582        51620.86636334984
115.81105022429303        51769.99427426521
116.14486138403426        51919.55495580353
116.47963471353533        52069.54968083418
116.81537298613243        52219.979726118014
117.15207898315602        52370.84637233493
117.48975549395291        52522.15090403879
117.82840531591037        52673.89460975859
118.16803125447831        52826.078781972385
118.50863612319345        52978.70471687977
118.85022274370189        53131.77371512237
119.19279394578271        53285.28708092952
119.53635256737189        53439.24612260584
119.8809014545849         53593.65215263593
120.22644346174131        53748.50648736822
120.57298145138739        53903.81044717358
120.92051829432084        54059.565356630155
121.26905686961376        54215.77254412648
121.6186000646368         54372.43334252689
121.96915077508342        54529.549088299194
122.32071190499313        54687.12112249681
122.67328636677647        54845.15078996026
123.02687708123811        55003.63943975267
123.38148697760212        55162.58842510696
123.73711899353519        55321.99910349642
124.09377607517196        55481.87283645323
124.45146117713857        55642.2109897583
124.81017726257751        55803.01493337108
125.16992730317256        55964.2860415141
125.53071427917247        56126.02569261863
125.89254117941675        56288.2352693374
126.25541100135932        56450.916158710555
126.61932675109443        56614.06975192637
126.9842914433805         56777.69744450832
127.35030810166616        56941.80063626521
127.71737975811435        57106.3807314897
128.08550945362785        57271.43913850634
128.45470023787485        57436.97727030397
128.82495516931337        57602.99654407585
129.1962773152175         57769.498381482605
129.5686697517019         57936.48420839906
129.94213556374828        58103.9554555381
130.31667784523           58271.91355743779
130.69229969893817        58440.3599536168
131.06900423660773        58609.29608777897
131.4467945789422         58778.723408214275
131.82567385564073        58948.64336767825
132.20564520542297        59119.057423377344
132.58671177605595        59289.96703713858
132.9688767243793         59461.373675314746
133.3521432163324         59633.27880866729
133.73651442697962        59805.683912706816
134.1219935405371         59978.59046756841
134.50858375039945        60151.99995787119
134.89628825916532        60325.91387278319
135.28511027866506        60500.33370633684
135.67505302998612        60675.26095699337
136.06611974350088        60850.69712799878
136.4583136588924         61026.643727404014
136.85163802518215        61203.10226766808
137.24609610075626        61380.07426634461
137.6416911533926         61557.561245307865
138.03842646028852        61735.564731473176
138.4363053080869         61914.0862564765
138.83533099290457        62093.12735672461
139.23550682035835        62272.68957346305
139.63683610559377        62452.77445260923
140.03932217331138        62633.38354506178
140.44296835779474        62814.5184066902
140.84777800293858        62996.180597843646
141.2537544622754         63178.37168425024
141.66090109900438        63361.09323622121
142.06922128601818        63544.34682901475
142.47871840593191        63728.134042976686
142.8893958511102         63912.456463466755
143.30125702369628        64097.315680452615
143.71430533563912        64282.71328928191
144.12854420872233        64468.65089024478
144.5439770745928         64655.13008847042
144.96060737478808        64842.15249440987
145.37843856076623        65029.71972346604
145.79747409393298        65217.833395997266
146.21771744567184        65406.49513772643
146.63917209737153        65595.7065791901
147.06184154045604        65785.46935644043
147.4857292764125         65975.78511037538
147.91083881682073        66166.6554873275
148.33717368338253        66358.08213854666
148.76473740795015        66550.06672083559
149.19353353255647        66742.61089597823
149.6235656094433         66935.71633109948
150.05483720109186        67129.38469868399
150.48735188025145        67323.61767636542
150.9211132299693         67518.41694709807
151.35612484362088        67713.78419949487
151.79239032493837        67909.72112705106
152.22991328804204        68106.22942887971
152.66869735746866        68303.3108095412
153.10874616820303        68500.9669788969
153.55006336570662        68699.19965237494
153.9926526059492         68898.0105506925
154.4365175554379         69097.4014000488
154.88166189124811        69297.37393245667
155.32808930105446        69497.9298849515
155.7758034831602         69699.07100051554
156.22480814652906        69900.79902745452
156.67510701081486        70103.11571979464
157.12670380639344        70306.02283706603
157.57960227439236        70509.52214441696
158.03380616672317        70713.61541265828
158.48931924611142        70918.30441839002
158.94614528612814        71123.59094370711
159.4042880712218         71329.4767765031
159.86375139674837        71535.96371037624
160.32453906900417        71743.0535446716
160.786654905256          71950.74808452628
161.25010273377416        72159.04914079452
161.71488639386294        72367.95853039417
162.18100973589299        72577.47807561702
162.64847662133363        72787.60960505206
163.1172909227838         72998.3549529299
163.58745652400532        73209.71595956007
164.05897731995387        73421.69447094455
164.5318572168125         73634.29233919167
165.00610013202268        73847.51142247654
165.48170999431815        74061.35358463462
165.95869074375614        74275.82069579404
166.4370463317507         74490.91463207504
166.91678072110582        74706.63727556923
167.3978978860471         74922.99051462558
167.88040181225605        75139.97624348517
168.36429649690177        75357.59636274049
168.84958594867533        75575.85277883244
169.33627418782172        75794.74740469917
169.82436524617444        76014.28215928451
170.31386316718778        76234.4589679377
170.8047720059708         76455.27976210983
171.29709582932136        76676.74647950122
171.79083871575875        76898.86106420186
172.2860047555588         77121.62546661618
172.78259805078628        77345.04164359851
173.2806227153304         77569.11155797479
173.78008287493762        77793.8371794244
174.2809826672464         78019.22048386633
174.78332624182192        78245.26345370496
175.28711776018926        78471.96807770035
175.7923613958693         78699.33635129819
176.2990613344119         78927.3702762517
176.80722177343196        79156.07186116997
177.31684692264275        79385.44312091969
177.82794100389228        79615.48607701845
178.34050825119692        79846.20275783168
178.85455291077713        80077.59519817625
179.37007924109307        80309.66543959887
179.88709151287873        80542.41553038084
180.40559400917866        80775.84752553933
180.92559102538203        81009.96348679387
181.44708686925964        81244.76548267697
181.97008586099827        81480.25558851619
182.49459233323773        81716.43588663195
183.02061063110568        81953.30846596471
183.54814511225402        82190.87542235159
184.07720014689562        82429.13885901407
184.60778011783924        82668.10088548381
185.13988942052723        82907.76361875518
185.67353246307053        83148.12918240826
186.20871366628674        83389.19970747826
186.7454374637353         83630.97733180292
187.28370830175484        83873.46420042745
187.8235306395006         84116.66246545226
188.36490894898           84360.57428607398
188.90784771509132        84605.20182880762
189.45235143565915        84850.547267329
189.9984246214733         85096.61278241029
190.54607179632484        85343.40056239744
191.09529749704404        85590.91280251149
191.64610627353872        85839.1517057083
192.1985026888304         86088.11948204484
192.75249131909365        86337.8183489089
193.30807675369272        86588.2505314208
193.86526359522077        86839.4182618836
194.42405645953662        87091.32378017176
194.98445997580455        87343.96933345126
195.54647878653103        87597.35717689866
196.11011754760474        87851.48957279437
196.6753809283339         88106.36879117989
197.24227361148533        88361.9971097854
197.81080029332404        88618.37681401761
198.38096568365052        88875.51019691548
198.95277450584163        89133.39955930118
199.52623149688787        89392.04720944219
200.10134140743443        89651.45546397976
200.678109001819          89911.6266468646
201.25653905811188        90172.56309027823
201.83663636815618        90434.26713391714
202.41840573760612        90696.74112571601
203.00185198596844        90959.9874215261
203.5869799466407         91224.00838485207
204.17379446695296        91488.80638778894
204.76230040820647        91754.38380974864
205.3525026457146         92020.7430391569
205.94440606884388        92287.88647184374
206.53801558105292        92555.81651202009
207.13333609993484        92824.53557199945
207.7303725572563         93094.04607260924
208.32912989899995        93364.35044272804
208.92961308540387        93635.45111948211
